                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1488,                 2.0378,                 1.2045,                0.67111,                0.20157,                0.23441,                0.15831,                 1.5867,                 2.6374,                 1.6756,             0.00022198,             0.00022198,             0.00022198
                     36,                  1.156,                  2.019,                 1.2142,                0.65653,                0.22223,                0.23939,                0.16399,                 1.5349,                   2.65,                 1.6249,             0.00022151,             0.00022151,             0.00022151
                     37,                 1.1481,                 1.9817,                 1.2012,                0.58348,                 0.2159,                0.24016,                0.16633,                 1.5522,                 2.7145,                 1.6483,             0.00022104,             0.00022104,             0.00022104
                     38,                 1.1475,                 2.0038,                 1.2336,                0.72188,                0.20252,                0.23578,                0.16128,                 1.5686,                 2.6757,                 1.6748,             0.00022056,             0.00022056,             0.00022056
                     39,                 1.1346,                 1.9252,                 1.2245,                0.62027,                0.21024,                0.24127,                0.16095,                 1.6091,                  2.618,                  1.701,             0.00022009,             0.00022009,             0.00022009
                     40,                 1.1369,                 1.9457,                 1.2279,                0.76456,                0.18108,                0.24119,                0.17129,                 1.5526,                 2.5612,                 1.6332,             0.00021962,             0.00021962,             0.00021962
                     41,                 1.0858,                 1.8503,                 1.1987,                0.76539,                0.18345,                0.23748,                0.17268,                 1.5029,                  2.568,                 1.5938,             0.00021915,             0.00021915,             0.00021915
                     42,                 1.0816,                 1.8661,                 1.1891,                0.68365,                0.20018,                0.24021,                0.16916,                 1.5075,                 2.5927,                 1.5839,             0.00021868,             0.00021868,             0.00021868
                     43,                 1.0853,                 1.8518,                 1.1883,                0.73541,                 0.1808,                0.24044,                0.16289,                 1.5332,                 2.6094,                 1.6036,             0.00021821,             0.00021821,             0.00021821
                     44,                 1.1125,                 1.8234,                 1.2023,                0.71714,                 0.1862,                 0.2404,                0.15395,                 1.6942,                 2.6632,                 1.6553,             0.00021774,             0.00021774,             0.00021774
                     45,                 1.0722,                 1.7657,                 1.1923,                0.55688,                0.20747,                0.24513,                0.16856,                 1.5954,                 2.6606,                 1.6058,             0.00021727,             0.00021727,             0.00021727
                     46,                 1.0422,                 1.7088,                 1.1629,                0.45429,                0.23253,                 0.2505,                0.17737,                 1.5253,                 2.5584,                 1.5878,             0.00021679,             0.00021679,             0.00021679
                     47,                 1.1011,                 1.7813,                 1.1763,                0.47868,                0.25042,                0.26197,                 0.1802,                 1.5617,                 2.4983,                 1.6313,             0.00021632,             0.00021632,             0.00021632
                     48,                 1.0588,                 1.7297,                 1.1888,                0.53872,                0.23064,                0.26359,                0.17361,                 1.5892,                 2.5018,                 1.6281,             0.00021585,             0.00021585,             0.00021585
                     49,                 1.0634,                 1.7552,                  1.203,                0.48913,                0.24392,                0.26249,                0.16824,                 1.6077,                 2.5114,                 1.6258,             0.00021538,             0.00021538,             0.00021538
                     50,                 1.0775,                 1.7009,                 1.1784,                0.48315,                0.26093,                0.26222,                0.17722,                 1.5064,                 2.5301,                 1.5845,             0.00021491,             0.00021491,             0.00021491
                     51,                 1.0396,                 1.6312,                 1.1577,                0.47854,                0.26806,                0.26195,                0.17365,                 1.4873,                 2.4753,                 1.5648,             0.00021444,             0.00021444,             0.00021444
                     52,                 1.0761,                 1.6336,                 1.1846,                0.51672,                0.26375,                0.26529,                0.17601,                 1.5107,                 2.3783,                 1.5859,             0.00021397,             0.00021397,             0.00021397
                     53,                 1.0615,                 1.6235,                 1.1744,                0.53459,                0.27302,                0.27209,                0.18053,                 1.5487,                 2.3544,                  1.629,              0.0002135,              0.0002135,              0.0002135
                     54,                 1.0253,                 1.5892,                 1.1846,                0.49815,                0.28189,                0.26618,                0.17568,                 1.5181,                 2.3243,                 1.6172,             0.00021302,             0.00021302,             0.00021302
                     55,                 1.0235,                  1.587,                 1.1401,                0.52487,                0.27073,                0.27076,                0.18149,                 1.5441,                 2.3682,                 1.6775,             0.00021255,             0.00021255,             0.00021255
                     56,                 1.0395,                 1.5614,                 1.1558,                0.54158,                0.26093,                0.28161,                0.19016,                 1.5335,                 2.3575,                 1.6622,             0.00021208,             0.00021208,             0.00021208
                     57,                  1.027,                 1.5342,                 1.1696,                0.66308,                0.23258,                0.28108,                0.18253,                 1.5955,                 2.4105,                  1.679,             0.00021161,             0.00021161,             0.00021161
                     58,                 1.0169,                 1.5437,                 1.1604,                0.68069,                0.23656,                  0.269,                0.18534,                 1.5413,                 2.3749,                 1.6511,             0.00021114,             0.00021114,             0.00021114
                     59,                 1.0002,                 1.4864,                 1.1195,                0.72579,                0.19658,                0.26036,                0.18594,                 1.4921,                 2.3057,                 1.5986,             0.00021067,             0.00021067,             0.00021067
                     60,                0.99903,                 1.5194,                 1.1557,                0.55483,                0.24664,                0.28908,                0.18119,                 1.6042,                 2.3207,                 1.6851,              0.0002102,              0.0002102,              0.0002102
                     61,                 1.0152,                 1.4567,                 1.1283,                0.69468,                0.21458,                0.27642,                0.16835,                 1.7046,                 2.3803,                 1.7291,             0.00020973,             0.00020973,             0.00020973
                     62,                 1.0111,                 1.4479,                 1.1337,                  0.744,                0.21649,                0.27405,                0.18424,                 1.5943,                 2.3937,                 1.6386,             0.00020925,             0.00020925,             0.00020925
                     63,                0.99406,                 1.4442,                 1.1399,                0.40295,                0.26672,                0.26782,                0.18408,                 1.5636,                 2.3723,                 1.6115,             0.00020878,             0.00020878,             0.00020878
                     64,                 1.0098,                 1.4551,                 1.1226,                0.63732,                0.22756,                0.25711,                0.17854,                 1.5448,                 2.3798,                 1.5968,             0.00020831,             0.00020831,             0.00020831
                     65,                  1.006,                 1.4615,                  1.144,                0.47456,                 0.2663,                0.27343,                0.18705,                 1.5861,                 2.3696,                 1.6194,             0.00020784,             0.00020784,             0.00020784
                     66,                 1.0072,                 1.4402,                 1.1306,                0.49393,                0.25645,                0.27858,                0.18753,                 1.5838,                 2.3737,                 1.6327,             0.00020737,             0.00020737,             0.00020737
                     67,                0.97606,                 1.3901,                 1.1132,                0.45658,                0.26776,                0.28047,                0.18921,                 1.5356,                  2.375,                 1.6142,              0.0002069,              0.0002069,              0.0002069
                     68,                0.96909,                 1.3682,                 1.1274,                0.40952,                0.26768,                0.27025,                0.18095,                  1.516,                 2.3813,                 1.6149,             0.00020643,             0.00020643,             0.00020643
                     69,                0.97819,                 1.4268,                 1.1253,                 0.4302,                 0.2718,                0.27357,                0.18629,                 1.5471,                 2.3443,                 1.6478,             0.00020596,             0.00020596,             0.00020596
                     70,                0.94924,                 1.3653,                 1.1176,                0.42644,                0.30975,                0.28672,                0.18666,                 1.5733,                 2.3035,                 1.6449,             0.00020548,             0.00020548,             0.00020548
                     71,                0.93742,                 1.3018,                 1.0906,                0.35942,                 0.3032,                0.25911,                 0.1852,                 1.4964,                 2.3598,                 1.6087,             0.00020501,             0.00020501,             0.00020501
                     72,                0.99721,                  1.349,                 1.1067,                0.35725,                0.32327,                0.27308,                0.18703,                  1.512,                  2.392,                 1.6234,             0.00020454,             0.00020454,             0.00020454
                     73,                0.93717,                 1.2907,                 1.1153,                0.36097,                0.31016,                0.27791,                0.17931,                 1.6104,                 2.4296,                 1.6686,             0.00020407,             0.00020407,             0.00020407
                     74,                  0.968,                 1.3245,                 1.1125,                0.36484,                0.29544,                0.26476,                0.17318,                 1.5986,                 2.4715,                 1.6444,              0.0002036,              0.0002036,              0.0002036
                     75,                0.93568,                 1.3251,                 1.1018,                0.33885,                0.27612,                0.26215,                0.17962,                 1.5532,                 2.4587,                 1.6069,             0.00020313,             0.00020313,             0.00020313
                     76,                0.94822,                 1.3235,                 1.1135,                0.34297,                0.27325,                0.26474,                 0.1814,                 1.5795,                 2.3935,                 1.6119,             0.00020266,             0.00020266,             0.00020266
                     77,                 0.9264,                 1.2762,                 1.1095,                0.34592,                0.30155,                 0.2785,                0.19841,                 1.5382,                 2.3235,                 1.5854,             0.00020219,             0.00020219,             0.00020219
                     78,                0.92967,                 1.2902,                 1.1173,                0.46127,                0.29979,                0.28143,                0.19524,                 1.4838,                  2.279,                 1.5692,             0.00020171,             0.00020171,             0.00020171
                     79,                 0.9021,                 1.2577,                 1.0892,                0.50388,                0.28591,                0.28737,                0.19307,                 1.5022,                 2.2727,                 1.5993,             0.00020124,             0.00020124,             0.00020124
                     80,                0.91639,                 1.2225,                 1.0873,                0.49914,                 0.3028,                0.29543,                0.19649,                 1.5323,                 2.3013,                 1.6016,             0.00020077,             0.00020077,             0.00020077
                     81,                0.93809,                 1.2565,                 1.1059,                 0.4014,                0.32371,                 0.2922,                0.19627,                 1.5463,                 2.3836,                 1.6079,              0.0002003,              0.0002003,              0.0002003
                     82,                0.91097,                 1.2431,                 1.0866,                0.35865,                 0.3186,                0.28323,                0.19153,                 1.5881,                  2.396,                 1.6236,             0.00019983,             0.00019983,             0.00019983
                     83,                0.95179,                 1.2726,                 1.1231,                0.33711,                0.34119,                0.28538,                0.19411,                 1.5832,                 2.3499,                 1.6423,             0.00019936,             0.00019936,             0.00019936
                     84,                0.93533,                 1.2436,                 1.1083,                0.39508,                 0.3243,                0.30375,                0.20637,                 1.5576,                 2.2772,                 1.6417,             0.00019889,             0.00019889,             0.00019889
                     85,                0.89708,                  1.194,                 1.0885,                0.42333,                0.30596,                 0.3043,                 0.2024,                 1.5824,                 2.2439,                 1.6562,             0.00019842,             0.00019842,             0.00019842
                     86,                0.91747,                 1.1871,                 1.1064,                0.42233,                0.32464,                0.31801,                0.19926,                 1.6535,                 2.2966,                 1.6971,             0.00019794,             0.00019794,             0.00019794
                     87,                0.91603,                 1.2328,                 1.1202,                0.41172,                0.31617,                0.30781,                0.19981,                 1.5862,                 2.3234,                 1.6692,             0.00019747,             0.00019747,             0.00019747
                     88,                0.91865,                 1.1535,                 1.0826,                0.43007,                0.30775,                0.29312,                0.20557,                 1.5268,                 2.3445,                 1.6406,               0.000197,               0.000197,               0.000197
                     89,                0.94917,                 1.2129,                 1.0983,                0.58682,                 0.2871,                0.31537,                0.20976,                 1.5875,                 2.3016,                  1.657,             0.00019653,             0.00019653,             0.00019653
                     90,                0.90269,                 1.1611,                  1.079,                0.47585,                0.33405,                0.31531,                0.18977,                  1.717,                 2.3291,                 1.7219,             0.00019606,             0.00019606,             0.00019606
                     91,                0.90316,                   1.17,                  1.091,                0.52505,                0.29868,                0.30696,                0.19765,                  1.617,                 2.3219,                 1.6511,             0.00019559,             0.00019559,             0.00019559
                     92,                0.89308,                 1.2011,                 1.0946,                0.50786,                0.31122,                0.30054,                0.20056,                 1.5579,                 2.2875,                 1.6454,             0.00019512,             0.00019512,             0.00019512
                     93,                0.89719,                  1.146,                 1.0819,                0.45612,                0.34201,                0.31262,                 0.2082,                   1.58,                 2.2727,                 1.6488,             0.00019465,             0.00019465,             0.00019465
                     94,                 0.8889,                 1.1462,                  1.082,                0.42448,                0.32185,                0.32145,                0.22172,                 1.5324,                 2.3006,                 1.6138,             0.00019417,             0.00019417,             0.00019417
                     95,                0.86889,                 1.1049,                 1.0749,                0.51486,                0.28657,                0.30803,                0.21634,                 1.5195,                 2.3074,                 1.6091,              0.0001937,              0.0001937,              0.0001937
                     96,                0.92029,                 1.1577,                 1.1004,                0.46895,                0.32136,                0.32574,                0.22283,                 1.5613,                 2.2633,                 1.6976,             0.00019323,             0.00019323,             0.00019323
                     97,                0.88184,                 1.0956,                 1.0718,                0.55705,                0.31771,                0.32961,                0.23147,                 1.4889,                 2.2109,                 1.6294,             0.00019276,             0.00019276,             0.00019276
                     98,                0.88434,                 1.1176,                 1.0923,                0.47736,                0.30802,                0.30554,                0.21688,                 1.4726,                 2.2214,                 1.6055,             0.00019229,             0.00019229,             0.00019229
                     99,                0.89397,                 1.1366,                 1.0988,                0.47864,                0.34494,                0.33127,                0.22775,                 1.4796,                 2.2215,                 1.6164,             0.00019182,             0.00019182,             0.00019182
                    100,                0.87045,                 1.0875,                 1.0663,                0.48423,                0.33064,                0.33386,                0.22648,                 1.4848,                 2.2587,                 1.6219,             0.00019135,             0.00019135,             0.00019135
                    101,                0.87192,                 1.1098,                 1.0962,                0.49132,                0.34761,                0.33187,                0.22758,                 1.4691,                 2.2539,                 1.5852,             0.00019088,             0.00019088,             0.00019088
